,0,1,2,3,4,5,6,7,8,9,10,11
0,27,2021-01-01 00:27:00,90,2021-01-01 01:30:00,90,2021-01-01 01:30:00,122,2021-01-01 02:02:00,122,2021-01-01 02:02:00,162,2021-01-01 02:42:00
1,162,2021-01-01 02:42:00,226,2021-01-01 03:46:00,226,2021-01-01 03:46:00,258,2021-01-01 04:18:00,258,2021-01-01 04:18:00,292,2021-01-01 04:52:00
2,292,2021-01-01 04:52:00,356,2021-01-01 05:56:00,356,2021-01-01 05:56:00,389,2021-01-01 06:29:00,389,2021-01-01 06:29:00,442,2021-01-01 07:22:00
3,442,2021-01-01 07:22:00,507,2021-01-01 08:27:00,507,2021-01-01 08:27:00,596,2021-01-01 09:56:00,596,2021-01-01 09:56:00,672,2021-01-01 11:12:00
4,672,2021-01-01 11:12:00,736,2021-01-01 12:16:00,736,2021-01-01 12:16:00,769,2021-01-01 12:49:00,769,2021-01-01 12:49:00,812,2021-01-01 13:32:00
5,812,2021-01-01 13:32:00,875,2021-01-01 14:35:00,875,2021-01-01 14:35:00,907,2021-01-01 15:07:00,907,2021-01-01 15:07:00,947,2021-01-01 15:47:00
6,947,2021-01-01 15:47:00,1011,2021-01-01 16:51:00,1011,2021-01-01 16:51:00,1043,2021-01-01 17:23:00,1043,2021-01-01 17:23:00,1092,2021-01-01 18:12:00
7,1092,2021-01-01 18:12:00,1155,2021-01-01 19:15:00,1155,2021-01-01 19:15:00,1188,2021-01-01 19:48:00,1188,2021-01-01 19:48:00,1242,2021-01-01 20:42:00
8,1242,2021-01-01 20:42:00,1304,2021-01-01 21:44:00,1304,2021-01-01 21:44:00,1391,2021-01-01 23:11:00,1391,2021-01-01 23:11:00,1467,2021-01-02 00:27:00
9,1467,2021-01-02 00:27:00,1524,2021-01-02 01:24:00,1524,2021-01-02 01:24:00,1554,2021-01-02 01:54:00,1554,2021-01-02 01:54:00,1602,2021-01-02 02:42:00
10,1602,2021-01-02 02:42:00,1659,2021-01-02 03:39:00,1659,2021-01-02 03:39:00,1688,2021-01-02 04:08:00,1688,2021-01-02 04:08:00,1733,2021-01-02 04:53:00
11,1733,2021-01-02 04:53:00,1789,2021-01-02 05:49:00,1789,2021-01-02 05:49:00,1818,2021-01-02 06:18:00,1818,2021-01-02 06:18:00,1882,2021-01-02 07:22:00
12,1882,2021-01-02 07:22:00,1936,2021-01-02 08:16:00,1936,2021-01-02 08:16:00,2009,2021-01-02 09:29:00,2009,2021-01-02 09:29:00,2112,2021-01-02 11:12:00
13,2112,2021-01-02 11:12:00,2168,2021-01-02 12:08:00,2168,2021-01-02 12:08:00,2197,2021-01-02 12:37:00,2197,2021-01-02 12:37:00,2252,2021-01-02 13:32:00
14,2252,2021-01-02 13:32:00,2304,2021-01-02 14:24:00,2304,2021-01-02 14:24:00,2331,2021-01-02 14:51:00,2331,2021-01-02 14:51:00,2387,2021-01-02 15:47:00
