,0,1,2,3,4,5,6,7,8,9,10,11
0,164,2016-01-01 02:44:00,226,2016-01-01 03:46:00,226,2016-01-01 03:46:00,258,2016-01-01 04:18:00,258,2016-01-01 04:18:00,304,2016-01-01 05:04:00
1,304,2016-01-01 05:04:00,366,2016-01-01 06:06:00,366,2016-01-01 06:06:00,398,2016-01-01 06:38:00,398,2016-01-01 06:38:00,439,2016-01-01 07:19:00
2,439,2016-01-01 07:19:00,501,2016-01-01 08:21:00,501,2016-01-01 08:21:00,533,2016-01-01 08:53:00,533,2016-01-01 08:53:00,584,2016-01-01 09:44:00
3,584,2016-01-01 09:44:00,646,2016-01-01 10:46:00,646,2016-01-01 10:46:00,678,2016-01-01 11:18:00,678,2016-01-01 11:18:00,734,2016-01-01 12:14:00
4,734,2016-01-01 12:14:00,796,2016-01-01 13:16:00,796,2016-01-01 13:16:00,884,2016-01-01 14:44:00,884,2016-01-01 14:44:00,959,2016-01-01 15:59:00
5,959,2016-01-01 15:59:00,1021,2016-01-01 17:01:00,1021,2016-01-01 17:01:00,1053,2016-01-01 17:33:00,1053,2016-01-01 17:33:00,1095,2016-01-01 18:15:00
6,1095,2016-01-01 18:15:00,1156,2016-01-01 19:16:00,1156,2016-01-01 19:16:00,1188,2016-01-01 19:48:00,1188,2016-01-01 19:48:00,1225,2016-01-01 20:25:00
7,1225,2016-01-01 20:25:00,1287,2016-01-01 21:27:00,1287,2016-01-01 21:27:00,1319,2016-01-01 21:59:00,1319,2016-01-01 21:59:00,1374,2016-01-01 22:54:00
8,1374,2016-01-01 22:54:00,1436,2016-01-01 23:56:00,1436,2016-01-01 23:56:00,1524,2016-01-02 01:24:00,1524,2016-01-02 01:24:00,1604,2016-01-02 02:44:00
9,1604,2016-01-02 02:44:00,1666,2016-01-02 03:46:00,1666,2016-01-02 03:46:00,1698,2016-01-02 04:18:00,1698,2016-01-02 04:18:00,1744,2016-01-02 05:04:00
10,1744,2016-01-02 05:04:00,1806,2016-01-02 06:06:00,1806,2016-01-02 06:06:00,1838,2016-01-02 06:38:00,1838,2016-01-02 06:38:00,1879,2016-01-02 07:19:00
11,1879,2016-01-02 07:19:00,1941,2016-01-02 08:21:00,1941,2016-01-02 08:21:00,1974,2016-01-02 08:54:00,1974,2016-01-02 08:54:00,2024,2016-01-02 09:44:00
12,2024,2016-01-02 09:44:00,2086,2016-01-02 10:46:00,2086,2016-01-02 10:46:00,2118,2016-01-02 11:18:00,2118,2016-01-02 11:18:00,2174,2016-01-02 12:14:00
13,2174,2016-01-02 12:14:00,2236,2016-01-02 13:16:00,2236,2016-01-02 13:16:00,2324,2016-01-02 14:44:00,2324,2016-01-02 14:44:00,2399,2016-01-02 15:59:00
14,2399,2016-01-02 15:59:00,2461,2016-01-02 17:01:00,2461,2016-01-02 17:01:00,2493,2016-01-02 17:33:00,2493,2016-01-02 17:33:00,2534,2016-01-02 18:14:00
15,2534,2016-01-02 18:14:00,2596,2016-01-02 19:16:00,2596,2016-01-02 19:16:00,2628,2016-01-02 19:48:00,2628,2016-01-02 19:48:00,2664,2016-01-02 20:24:00
16,2664,2016-01-02 20:24:00,2726,2016-01-02 21:26:00,2726,2016-01-02 21:26:00,2758,2016-01-02 21:58:00,2758,2016-01-02 21:58:00,2814,2016-01-02 22:54:00
17,2814,2016-01-02 22:54:00,2876,2016-01-02 23:56:00,2876,2016-01-02 23:56:00,2964,2016-01-03 01:24:00,2964,2016-01-03 01:24:00,3044,2016-01-03 02:44:00
18,3044,2016-01-03 02:44:00,3106,2016-01-03 03:46:00,3106,2016-01-03 03:46:00,3138,2016-01-03 04:18:00,3138,2016-01-03 04:18:00,3184,2016-01-03 05:04:00
19,3184,2016-01-03 05:04:00,3246,2016-01-03 06:06:00,3246,2016-01-03 06:06:00,3279,2016-01-03 06:39:00,3279,2016-01-03 06:39:00,3319,2016-01-03 07:19:00
20,3319,2016-01-03 07:19:00,3381,2016-01-03 08:21:00,3381,2016-01-03 08:21:00,3413,2016-01-03 08:53:00,3413,2016-01-03 08:53:00,3464,2016-01-03 09:44:00
21,3464,2016-01-03 09:44:00,3526,2016-01-03 10:46:00,3526,2016-01-03 10:46:00,3558,2016-01-03 11:18:00,3558,2016-01-03 11:18:00,3614,2016-01-03 12:14:00
22,3614,2016-01-03 12:14:00,3676,2016-01-03 13:16:00,3676,2016-01-03 13:16:00,3764,2016-01-03 14:44:00,3764,2016-01-03 14:44:00,3839,2016-01-03 15:59:00
23,3839,2016-01-03 15:59:00,3901,2016-01-03 17:01:00,3901,2016-01-03 17:01:00,3933,2016-01-03 17:33:00,3933,2016-01-03 17:33:00,3974,2016-01-03 18:14:00
24,3974,2016-01-03 18:14:00,4036,2016-01-03 19:16:00,4036,2016-01-03 19:16:00,4068,2016-01-03 19:48:00,4068,2016-01-03 19:48:00,4104,2016-01-03 20:24:00
25,4104,2016-01-03 20:24:00,4166,2016-01-03 21:26:00,4166,2016-01-03 21:26:00,4199,2016-01-03 21:59:00,4199,2016-01-03 21:59:00,4254,2016-01-03 22:54:00
26,4254,2016-01-03 22:54:00,4316,2016-01-03 23:56:00,4316,2016-01-03 23:56:00,4404,2016-01-04 01:24:00,4404,2016-01-04 01:24:00,4484,2016-01-04 02:44:00
27,4484,2016-01-04 02:44:00,4546,2016-01-04 03:46:00,4546,2016-01-04 03:46:00,4578,2016-01-04 04:18:00,4578,2016-01-04 04:18:00,4624,2016-01-04 05:04:00
28,4624,2016-01-04 05:04:00,4686,2016-01-04 06:06:00,4686,2016-01-04 06:06:00,4718,2016-01-04 06:38:00,4718,2016-01-04 06:38:00,4759,2016-01-04 07:19:00
29,4759,2016-01-04 07:19:00,4821,2016-01-04 08:21:00,4821,2016-01-04 08:21:00,4853,2016-01-04 08:53:00,4853,2016-01-04 08:53:00,4904,2016-01-04 09:44:00
30,4904,2016-01-04 09:44:00,4966,2016-01-04 10:46:00,4966,2016-01-04 10:46:00,4998,2016-01-04 11:18:00,4998,2016-01-04 11:18:00,5054,2016-01-04 12:14:00
31,5054,2016-01-04 12:14:00,5116,2016-01-04 13:16:00,5116,2016-01-04 13:16:00,5204,2016-01-04 14:44:00,5204,2016-01-04 14:44:00,5279,2016-01-04 15:59:00
32,5279,2016-01-04 15:59:00,5341,2016-01-04 17:01:00,5341,2016-01-04 17:01:00,5373,2016-01-04 17:33:00,5373,2016-01-04 17:33:00,5414,2016-01-04 18:14:00
33,5414,2016-01-04 18:14:00,5476,2016-01-04 19:16:00,5476,2016-01-04 19:16:00,5508,2016-01-04 19:48:00,5508,2016-01-04 19:48:00,5544,2016-01-04 20:24:00
