,0,1,2,3,4,5,6,7,8,9,10,11
0,45,2018-01-01 00:45:00,109,2018-01-01 01:49:00,109,2018-01-01 01:49:00,143,2018-01-01 02:23:00,143,2018-01-01 02:23:00,180,2018-01-01 03:00:00
1,180,2018-01-01 03:00:00,244,2018-01-01 04:04:00,244,2018-01-01 04:04:00,278,2018-01-01 04:38:00,278,2018-01-01 04:38:00,310,2018-01-01 05:10:00
2,310,2018-01-01 05:10:00,374,2018-01-01 06:14:00,374,2018-01-01 06:14:00,408,2018-01-01 06:48:00,408,2018-01-01 06:48:00,460,2018-01-01 07:40:00
3,460,2018-01-01 07:40:00,524,2018-01-01 08:44:00,524,2018-01-01 08:44:00,613,2018-01-01 10:13:00,613,2018-01-01 10:13:00,690,2018-01-01 11:30:00
4,690,2018-01-01 11:30:00,754,2018-01-01 12:34:00,754,2018-01-01 12:34:00,788,2018-01-01 13:08:00,788,2018-01-01 13:08:00,830,2018-01-01 13:50:00
5,830,2018-01-01 13:50:00,894,2018-01-01 14:54:00,894,2018-01-01 14:54:00,928,2018-01-01 15:28:00,928,2018-01-01 15:28:00,965,2018-01-01 16:05:00
6,965,2018-01-01 16:05:00,1029,2018-01-01 17:09:00,1029,2018-01-01 17:09:00,1063,2018-01-01 17:43:00,1063,2018-01-01 17:43:00,1110,2018-01-01 18:30:00
7,1110,2018-01-01 18:30:00,1174,2018-01-01 19:34:00,1174,2018-01-01 19:34:00,1208,2018-01-01 20:08:00,1208,2018-01-01 20:08:00,1260,2018-01-01 21:00:00
8,1260,2018-01-01 21:00:00,1324,2018-01-01 22:04:00,1324,2018-01-01 22:04:00,1413,2018-01-01 23:33:00,1413,2018-01-01 23:33:00,1485,2018-01-02 00:45:00
9,1485,2018-01-02 00:45:00,1549,2018-01-02 01:49:00,1549,2018-01-02 01:49:00,1583,2018-01-02 02:23:00,1583,2018-01-02 02:23:00,1620,2018-01-02 03:00:00
10,1620,2018-01-02 03:00:00,1684,2018-01-02 04:04:00,1684,2018-01-02 04:04:00,1718,2018-01-02 04:38:00,1718,2018-01-02 04:38:00,1750,2018-01-02 05:10:00
11,1750,2018-01-02 05:10:00,1814,2018-01-02 06:14:00,1814,2018-01-02 06:14:00,1848,2018-01-02 06:48:00,1848,2018-01-02 06:48:00,1900,2018-01-02 07:40:00
12,1900,2018-01-02 07:40:00,1964,2018-01-02 08:44:00,1964,2018-01-02 08:44:00,2053,2018-01-02 10:13:00,2053,2018-01-02 10:13:00,2130,2018-01-02 11:30:00
13,2130,2018-01-02 11:30:00,2194,2018-01-02 12:34:00,2194,2018-01-02 12:34:00,2228,2018-01-02 13:08:00,2228,2018-01-02 13:08:00,2270,2018-01-02 13:50:00
14,2270,2018-01-02 13:50:00,2334,2018-01-02 14:54:00,2334,2018-01-02 14:54:00,2368,2018-01-02 15:28:00,2368,2018-01-02 15:28:00,2405,2018-01-02 16:05:00
15,2405,2018-01-02 16:05:00,2469,2018-01-02 17:09:00,2469,2018-01-02 17:09:00,2503,2018-01-02 17:43:00,2503,2018-01-02 17:43:00,2550,2018-01-02 18:30:00
16,2550,2018-01-02 18:30:00,2614,2018-01-02 19:34:00,2614,2018-01-02 19:34:00,2648,2018-01-02 20:08:00,2648,2018-01-02 20:08:00,2700,2018-01-02 21:00:00
17,2700,2018-01-02 21:00:00,2764,2018-01-02 22:04:00,2764,2018-01-02 22:04:00,2853,2018-01-02 23:33:00,2853,2018-01-02 23:33:00,2925,2018-01-03 00:45:00
18,2925,2018-01-03 00:45:00,2989,2018-01-03 01:49:00,2989,2018-01-03 01:49:00,3023,2018-01-03 02:23:00,3023,2018-01-03 02:23:00,3060,2018-01-03 03:00:00
19,3060,2018-01-03 03:00:00,3124,2018-01-03 04:04:00,3124,2018-01-03 04:04:00,3158,2018-01-03 04:38:00,3158,2018-01-03 04:38:00,3190,2018-01-03 05:10:00
