,0,1,2,3,4,5,6,7,8,9,10,11
0,164,2016-01-01 02:44:00,226,2016-01-01 03:46:00,226,2016-01-01 03:46:00,258,2016-01-01 04:18:00,258,2016-01-01 04:18:00,305,2016-01-01 05:05:00
1,305,2016-01-01 05:05:00,366,2016-01-01 06:06:00,366,2016-01-01 06:06:00,398,2016-01-01 06:38:00,398,2016-01-01 06:38:00,439,2016-01-01 07:19:00
2,439,2016-01-01 07:19:00,501,2016-01-01 08:21:00,501,2016-01-01 08:21:00,533,2016-01-01 08:53:00,533,2016-01-01 08:53:00,584,2016-01-01 09:44:00
3,584,2016-01-01 09:44:00,646,2016-01-01 10:46:00,646,2016-01-01 10:46:00,678,2016-01-01 11:18:00,678,2016-01-01 11:18:00,734,2016-01-01 12:14:00
4,734,2016-01-01 12:14:00,796,2016-01-01 13:16:00,796,2016-01-01 13:16:00,884,2016-01-01 14:44:00,884,2016-01-01 14:44:00,959,2016-01-01 15:59:00
5,959,2016-01-01 15:59:00,1021,2016-01-01 17:01:00,1021,2016-01-01 17:01:00,1053,2016-01-01 17:33:00,1053,2016-01-01 17:33:00,1094,2016-01-01 18:14:00
6,1094,2016-01-01 18:14:00,1156,2016-01-01 19:16:00,1156,2016-01-01 19:16:00,1188,2016-01-01 19:48:00,1188,2016-01-01 19:48:00,1225,2016-01-01 20:25:00
7,1225,2016-01-01 20:25:00,1286,2016-01-01 21:26:00,1286,2016-01-01 21:26:00,1318,2016-01-01 21:58:00,1318,2016-01-01 21:58:00,1374,2016-01-01 22:54:00
8,1374,2016-01-01 22:54:00,1436,2016-01-01 23:56:00,1436,2016-01-01 23:56:00,1524,2016-01-02 01:24:00,1524,2016-01-02 01:24:00,1604,2016-01-02 02:44:00
9,1604,2016-01-02 02:44:00,1666,2016-01-02 03:46:00,1666,2016-01-02 03:46:00,1698,2016-01-02 04:18:00,1698,2016-01-02 04:18:00,1745,2016-01-02 05:05:00
10,1745,2016-01-02 05:05:00,1806,2016-01-02 06:06:00,1806,2016-01-02 06:06:00,1838,2016-01-02 06:38:00,1838,2016-01-02 06:38:00,1879,2016-01-02 07:19:00
11,1879,2016-01-02 07:19:00,1941,2016-01-02 08:21:00,1941,2016-01-02 08:21:00,1973,2016-01-02 08:53:00,1973,2016-01-02 08:53:00,2024,2016-01-02 09:44:00
12,2024,2016-01-02 09:44:00,2086,2016-01-02 10:46:00,2086,2016-01-02 10:46:00,2118,2016-01-02 11:18:00,2118,2016-01-02 11:18:00,2174,2016-01-02 12:14:00
13,2174,2016-01-02 12:14:00,2236,2016-01-02 13:16:00,2236,2016-01-02 13:16:00,2324,2016-01-02 14:44:00,2324,2016-01-02 14:44:00,2399,2016-01-02 15:59:00
14,2399,2016-01-02 15:59:00,2461,2016-01-02 17:01:00,2461,2016-01-02 17:01:00,2493,2016-01-02 17:33:00,2493,2016-01-02 17:33:00,2534,2016-01-02 18:14:00
15,2534,2016-01-02 18:14:00,2596,2016-01-02 19:16:00,2596,2016-01-02 19:16:00,2628,2016-01-02 19:48:00,2628,2016-01-02 19:48:00,2665,2016-01-02 20:25:00
16,2665,2016-01-02 20:25:00,2726,2016-01-02 21:26:00,2726,2016-01-02 21:26:00,2758,2016-01-02 21:58:00,2758,2016-01-02 21:58:00,2814,2016-01-02 22:54:00
17,2814,2016-01-02 22:54:00,2876,2016-01-02 23:56:00,2876,2016-01-02 23:56:00,2964,2016-01-03 01:24:00,2964,2016-01-03 01:24:00,3044,2016-01-03 02:44:00
18,3044,2016-01-03 02:44:00,3106,2016-01-03 03:46:00,3106,2016-01-03 03:46:00,3138,2016-01-03 04:18:00,3138,2016-01-03 04:18:00,3184,2016-01-03 05:04:00
19,3184,2016-01-03 05:04:00,3246,2016-01-03 06:06:00,3246,2016-01-03 06:06:00,3278,2016-01-03 06:38:00,3278,2016-01-03 06:38:00,3319,2016-01-03 07:19:00
20,3319,2016-01-03 07:19:00,3381,2016-01-03 08:21:00,3381,2016-01-03 08:21:00,3413,2016-01-03 08:53:00,3413,2016-01-03 08:53:00,3464,2016-01-03 09:44:00
