,0,1,2,3,4,5,6,7,8,9,10,11
0,45,2017-01-01 00:45:00,109,2017-01-01 01:49:00,109,2017-01-01 01:49:00,143,2017-01-01 02:23:00,143,2017-01-01 02:23:00,180,2017-01-01 03:00:00
1,180,2017-01-01 03:00:00,241,2017-01-01 04:01:00,241,2017-01-01 04:01:00,272,2017-01-01 04:32:00,272,2017-01-01 04:32:00,310,2017-01-01 05:10:00
2,310,2017-01-01 05:10:00,372,2017-01-01 06:12:00,372,2017-01-01 06:12:00,404,2017-01-01 06:44:00,404,2017-01-01 06:44:00,460,2017-01-01 07:40:00
3,460,2017-01-01 07:40:00,523,2017-01-01 08:43:00,523,2017-01-01 08:43:00,612,2017-01-01 10:12:00,612,2017-01-01 10:12:00,690,2017-01-01 11:30:00
4,690,2017-01-01 11:30:00,743,2017-01-01 12:23:00,743,2017-01-01 12:23:00,770,2017-01-01 12:50:00,770,2017-01-01 12:50:00,830,2017-01-01 13:50:00
5,830,2017-01-01 13:50:00,883,2017-01-01 14:43:00,883,2017-01-01 14:43:00,911,2017-01-01 15:11:00,911,2017-01-01 15:11:00,965,2017-01-01 16:05:00
6,965,2017-01-01 16:05:00,1014,2017-01-01 16:54:00,1014,2017-01-01 16:54:00,1040,2017-01-01 17:20:00,1040,2017-01-01 17:20:00,1110,2017-01-01 18:30:00
7,1110,2017-01-01 18:30:00,1166,2017-01-01 19:26:00,1166,2017-01-01 19:26:00,1195,2017-01-01 19:55:00,1195,2017-01-01 19:55:00,1260,2017-01-01 21:00:00
8,1260,2017-01-01 21:00:00,1315,2017-01-01 21:55:00,1315,2017-01-01 21:55:00,1389,2017-01-01 23:09:00,1389,2017-01-01 23:09:00,1485,2017-01-02 00:45:00
9,1485,2017-01-02 00:45:00,1541,2017-01-02 01:41:00,1541,2017-01-02 01:41:00,1571,2017-01-02 02:11:00,1571,2017-01-02 02:11:00,1620,2017-01-02 03:00:00
10,1620,2017-01-02 03:00:00,1678,2017-01-02 03:58:00,1678,2017-01-02 03:58:00,1708,2017-01-02 04:28:00,1708,2017-01-02 04:28:00,1750,2017-01-02 05:10:00
11,1750,2017-01-02 05:10:00,1806,2017-01-02 06:06:00,1806,2017-01-02 06:06:00,1835,2017-01-02 06:35:00,1835,2017-01-02 06:35:00,1900,2017-01-02 07:40:00
12,1900,2017-01-02 07:40:00,1961,2017-01-02 08:41:00,1961,2017-01-02 08:41:00,2043,2017-01-02 10:03:00,2043,2017-01-02 10:03:00,2130,2017-01-02 11:30:00
13,2130,2017-01-02 11:30:00,2192,2017-01-02 12:32:00,2192,2017-01-02 12:32:00,2224,2017-01-02 13:04:00,2224,2017-01-02 13:04:00,2270,2017-01-02 13:50:00
14,2270,2017-01-02 13:50:00,2333,2017-01-02 14:53:00,2333,2017-01-02 14:53:00,2365,2017-01-02 15:25:00,2365,2017-01-02 15:25:00,2405,2017-01-02 16:05:00
15,2405,2017-01-02 16:05:00,2469,2017-01-02 17:09:00,2469,2017-01-02 17:09:00,2503,2017-01-02 17:43:00,2503,2017-01-02 17:43:00,2550,2017-01-02 18:30:00
16,2550,2017-01-02 18:30:00,2615,2017-01-02 19:35:00,2615,2017-01-02 19:35:00,2648,2017-01-02 20:08:00,2648,2017-01-02 20:08:00,2700,2017-01-02 21:00:00
17,2700,2017-01-02 21:00:00,2764,2017-01-02 22:04:00,2764,2017-01-02 22:04:00,2853,2017-01-02 23:33:00,2853,2017-01-02 23:33:00,2925,2017-01-03 00:45:00
18,2925,2017-01-03 00:45:00,2989,2017-01-03 01:49:00,2989,2017-01-03 01:49:00,3023,2017-01-03 02:23:00,3023,2017-01-03 02:23:00,3060,2017-01-03 03:00:00
19,3060,2017-01-03 03:00:00,3124,2017-01-03 04:04:00,3124,2017-01-03 04:04:00,3158,2017-01-03 04:38:00,3158,2017-01-03 04:38:00,3190,2017-01-03 05:10:00
20,3190,2017-01-03 05:10:00,3254,2017-01-03 06:14:00,3254,2017-01-03 06:14:00,3288,2017-01-03 06:48:00,3288,2017-01-03 06:48:00,3340,2017-01-03 07:40:00
21,3340,2017-01-03 07:40:00,3404,2017-01-03 08:44:00,3404,2017-01-03 08:44:00,3493,2017-01-03 10:13:00,3493,2017-01-03 10:13:00,3570,2017-01-03 11:30:00
22,3570,2017-01-03 11:30:00,3634,2017-01-03 12:34:00,3634,2017-01-03 12:34:00,3668,2017-01-03 13:08:00,3668,2017-01-03 13:08:00,3710,2017-01-03 13:50:00
23,3710,2017-01-03 13:50:00,3773,2017-01-03 14:53:00,3773,2017-01-03 14:53:00,3806,2017-01-03 15:26:00,3806,2017-01-03 15:26:00,3845,2017-01-03 16:05:00
24,3845,2017-01-03 16:05:00,3909,2017-01-03 17:09:00,3909,2017-01-03 17:09:00,3943,2017-01-03 17:43:00,3943,2017-01-03 17:43:00,3990,2017-01-03 18:30:00
25,3990,2017-01-03 18:30:00,4054,2017-01-03 19:34:00,4054,2017-01-03 19:34:00,4088,2017-01-03 20:08:00,4088,2017-01-03 20:08:00,4140,2017-01-03 21:00:00
26,4140,2017-01-03 21:00:00,4205,2017-01-03 22:05:00,4205,2017-01-03 22:05:00,4293,2017-01-03 23:33:00,4293,2017-01-03 23:33:00,4365,2017-01-04 00:45:00
